,Attrition,Gender,OverTime,MaritalStatus,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel,Education,EducationField,JobLevel,JobRole,Department,StockOptionLevel
0,1,Female,Yes,Single,2,Very High,1,1,High,High,0,2,Life Sciences,2,Sales Executive,Sales,0
1,0,Male,No,Married,3,Medium,4,3,Medium,Very High,1,1,Life Sciences,2,Research Scientist,Research & Development,1
2,1,Male,Yes,Single,4,High,2,3,Medium,High,0,2,Other,1,Laboratory Technician,Research & Development,0
3,0,Female,Yes,Married,4,High,3,3,High,High,1,4,Life Sciences,1,Research Scientist,Research & Development,0
4,0,Male,No,Married,1,Medium,4,3,High,High,0,1,Medical,1,Laboratory Technician,Research & Development,1
5,0,Male,No,Single,4,Very High,3,2,High,High,1,2,Life Sciences,1,Laboratory Technician,Research & Development,0
6,0,Female,Yes,Married,3,Low,1,2,Very High,Very High,0,3,Medical,1,Laboratory Technician,Research & Development,3
7,0,Male,No,Divorced,4,High,2,3,High,Very High,0,1,Life Sciences,1,Laboratory Technician,Research & Development,1
8,0,Male,No,Single,4,High,2,3,Medium,Very High,1,3,Life Sciences,3,Manufacturing Director,Research & Development,0
9,0,Male,No,Married,3,High,2,2,High,High,0,3,Medical,2,Healthcare Representative,Research & Development,2
10,0,Male,No,Married,1,Medium,3,3,Very High,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
11,0,Female,Yes,Single,4,High,4,3,Medium,High,0,2,Life Sciences,2,Laboratory Technician,Research & Development,0
12,0,Male,No,Divorced,1,High,4,2,High,High,0,1,Life Sciences,1,Research Scientist,Research & Development,1
13,0,Male,No,Divorced,2,Very High,3,3,High,High,0,2,Medical,1,Laboratory Technician,Research & Development,1
14,1,Male,Yes,Single,3,High,2,3,Medium,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
15,0,Female,No,Divorced,2,Low,3,3,Very High,High,0,4,Life Sciences,3,Manufacturing Director,Research & Development,1
16,0,Male,Yes,Divorced,1,Medium,4,2,Very High,High,0,2,Life Sciences,1,Research Scientist,Research & Development,2
17,0,Male,Yes,Divorced,4,Very High,2,2,Very High,High,Non-Travel,2,Medical,1,Laboratory Technician,Research & Development,2
18,0,Female,No,Married,1,Very High,3,3,Medium,High,0,4,Life Sciences,4,Manager,Sales,0
19,0,Male,Yes,Single,4,Very High,3,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
20,0,Female,No,Divorced,1,High,4,2,Very High,High,Non-Travel,2,Other,2,Manufacturing Director,Research & Development,1
21,1,Male,No,Single,3,Low,2,3,Medium,Very High,0,4,Life Sciences,1,Sales Representative,Sales,0
22,0,Female,No,Single,1,Medium,3,3,High,High,0,4,Life Sciences,3,Research Director,Research & Development,0
23,0,Male,No,Single,3,Very High,4,3,High,High,0,2,Life Sciences,1,Research Scientist,Research & Development,0
24,1,Male,No,Single,2,Low,3,3,High,High,0,1,Medical,1,Research Scientist,Research & Development,0
25,0,Female,No,Divorced,3,High,4,2,High,High,0,3,Other,5,Manager,Research & Development,1
26,1,Female,Yes,Single,2,Low,2,3,Low,Very High,1,1,Life Sciences,1,Research Scientist,Research & Development,0
27,0,Male,No,Married,3,Medium,4,3,High,High,0,4,Marketing,2,Sales Executive,Sales,1
28,0,Female,No,Married,1,Very High,4,3,Medium,High,0,4,Medical,3,Healthcare Representative,Research & Development,1
29,0,Female,No,Single,2,Low,4,2,High,High,0,4,Marketing,5,Manager,Sales,0
30,0,Male,No,Single,3,Very High,4,3,High,High,0,3,Medical,1,Laboratory Technician,Research & Development,0
31,0,Male,Yes,Married,4,Very High,4,4,High,High,0,4,Other,2,Healthcare Representative,Research & Development,0
32,0,Male,No,Single,4,High,1,3,Medium,High,0,2,Medical,1,Laboratory Technician,Research & Development,0
33,1,Male,No,Married,4,Very High,3,4,High,High,0,3,Technical Degree,2,Sales Representative,Sales,1
34,1,Male,Yes,Married,2,Very High,1,2,High,High,0,3,Medical,1,Research Scientist,Research & Development,1
35,0,Female,No,Divorced,4,High,4,2,Very High,High,0,2,Medical,1,Research Scientist,Research & Development,2
36,1,Male,Yes,Married,1,High,3,3,Medium,High,0,2,Marketing,1,Sales Representative,Sales,0
37,0,Female,No,Married,4,Very High,1,3,High,High,0,3,Marketing,1,Sales Representative,Sales,0
38,0,Female,Yes,Married,2,Low,4,4,Medium,High,0,4,Life Sciences,1,Research Scientist,Research & Development,1
39,0,Female,No,Married,3,Low,1,3,Very High,High,1,3,Life Sciences,2,Sales Executive,Sales,2
40,0,Male,No,Divorced,3,Very High,3,3,High,High,0,2,Other,1,Laboratory Technician,Research & Development,1
41,0,Female,No,Divorced,4,Low,4,3,High,High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,1
42,1,Male,No,Single,1,High,3,2,Low,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
43,0,Male,No,Single,4,High,4,3,High,High,1,3,Life Sciences,3,Sales Executive,Sales,0
44,0,Female,No,Single,3,Very High,4,3,High,Very High,1,2,Medical,2,Laboratory Technician,Research & Development,0
45,1,Female,No,Married,2,High,4,3,High,High,0,3,Technical Degree,5,Research Director,Research & Development,0
46,0,Male,No,Single,2,High,3,3,High,Very High,Non-Travel,4,Marketing,2,Sales Executive,Sales,0
47,0,Male,No,Married,2,Medium,1,3,High,Very High,0,2,Life Sciences,1,Research Scientist,Research & Development,0
48,0,Male,Yes,Single,1,Very High,3,3,High,Very High,1,4,Marketing,2,Sales Executive,Sales,0
49,0,Male,No,Married,4,Very High,4,3,Very High,High,0,1,Life Sciences,1,Laboratory Technician,Research & Development,0
50,1,Male,Yes,Single,1,High,4,3,Medium,High,0,2,Life Sciences,3,Laboratory Technician,Research & Development,0
51,1,Male,Yes,Single,3,High,3,2,High,High,0,4,Technical Degree,1,Laboratory Technician,Research & Development,0
52,0,Female,Yes,Divorced,2,Low,3,2,High,Very High,0,5,Marketing,2,Sales Executive,Sales,1
53,0,Male,Yes,Married,3,Low,3,3,Medium,High,Non-Travel,2,Medical,3,Healthcare Representative,Research & Development,1
54,0,Female,Yes,Married,3,Very High,3,2,Medium,High,0,3,Marketing,2,Sales Executive,Sales,1
55,0,Female,Yes,Single,1,Very High,3,3,High,High,1,2,Life Sciences,3,Research Director,Research & Development,0
56,0,Male,No,Married,2,Low,4,2,High,Very High,1,5,Life Sciences,3,Sales Executive,Sales,1
