,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,1,0,1102,Sales,1,2,Life Sciences,2,Female,94,High,2,Sales Executive,Very High,Single,5993,19479,8,Yes,11,High,1,0,8,0,1,6,4,0,5
1,49,0,1,279,Research & Development,8,1,Life Sciences,3,Male,61,Medium,2,Research Scientist,Medium,Married,5130,24907,1,No,23,Very High,4,1,10,3,3,10,7,1,7
2,37,1,0,1373,Research & Development,2,2,Other,4,Male,92,Medium,1,Laboratory Technician,High,Single,2090,2396,6,Yes,15,High,2,0,7,3,3,0,0,0,0
3,33,0,1,1392,Research & Development,3,4,Life Sciences,4,Female,56,High,1,Research Scientist,High,Married,2909,23159,1,Yes,11,High,3,0,8,3,3,8,7,3,0
4,27,0,0,591,Research & Development,2,1,Medical,1,Male,40,High,1,Laboratory Technician,Medium,Married,3468,16632,9,No,12,High,4,1,6,3,3,2,2,2,2
5,32,0,1,1005,Research & Development,2,2,Life Sciences,4,Male,79,High,1,Laboratory Technician,Very High,Single,3068,11864,0,No,13,High,3,0,8,2,2,7,7,3,6
6,59,0,0,1324,Research & Development,3,3,Medical,3,Female,81,Very High,1,Laboratory Technician,Low,Married,2670,9964,4,Yes,20,Very High,1,3,12,3,2,1,0,0,0
7,30,0,0,1358,Research & Development,24,1,Life Sciences,4,Male,67,High,1,Laboratory Technician,High,Divorced,2693,13335,1,No,22,Very High,2,1,1,2,3,1,0,0,0
8,38,0,1,216,Research & Development,23,3,Life Sciences,4,Male,44,Medium,3,Manufacturing Director,High,Single,9526,8787,0,No,21,Very High,2,0,10,2,3,9,7,1,8
9,36,0,0,1299,Research & Development,27,3,Medical,3,Male,94,High,2,Healthcare Representative,High,Married,5237,16577,6,No,13,High,2,2,17,3,2,7,7,7,7
10,35,0,0,809,Research & Development,16,3,Medical,1,Male,84,Very High,1,Laboratory Technician,Medium,Married,2426,16479,0,No,13,High,3,1,6,5,3,5,4,0,3
11,29,0,0,153,Research & Development,15,2,Life Sciences,4,Female,49,Medium,2,Laboratory Technician,High,Single,4193,12682,0,Yes,12,High,4,0,10,3,3,9,5,0,8
12,31,0,0,670,Research & Development,26,1,Life Sciences,1,Male,31,High,1,Research Scientist,High,Divorced,2911,15170,1,No,17,High,4,1,5,1,2,5,2,4,3
13,34,0,0,1346,Research & Development,19,2,Medical,2,Male,93,High,1,Laboratory Technician,Very High,Divorced,2661,8758,0,No,11,High,3,1,3,2,3,2,2,1,2
14,28,1,0,103,Research & Development,24,3,Life Sciences,3,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5,Yes,14,High,2,0,6,4,3,4,2,0,3
15,29,0,0,1389,Research & Development,21,4,Life Sciences,2,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1,No,11,High,3,1,10,1,3,10,9,8,8
16,32,0,0,334,Research & Development,5,2,Life Sciences,1,Male,80,Very High,1,Research Scientist,Medium,Divorced,3298,15053,0,Yes,12,High,4,2,7,5,2,6,2,0,5
17,22,0,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Yes,13,High,2,2,1,2,2,1,0,0,0
18,53,0,0,1219,Sales,2,4,Life Sciences,1,Female,78,Medium,4,Manager,Very High,Married,15427,22021,2,No,16,High,3,0,31,3,3,25,8,3,7
19,38,0,0,371,Research & Development,2,3,Life Sciences,4,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5,Yes,11,High,3,0,6,3,3,3,2,1,2
20,24,0,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,Very High,2,Manufacturing Director,High,Divorced,4011,8232,0,No,18,High,4,1,5,5,2,4,2,1,3
21,36,1,0,1218,Sales,9,4,Life Sciences,3,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,No,23,Very High,2,0,10,4,3,5,3,0,3
22,34,0,0,419,Research & Development,7,4,Life Sciences,1,Female,53,High,3,Research Director,Medium,Single,11994,21293,0,No,11,High,3,0,13,4,3,12,6,2,11
23,21,0,0,391,Research & Development,15,2,Life Sciences,3,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1,No,14,High,4,0,0,6,3,0,0,0,0
24,34,1,0,699,Research & Development,6,1,Medical,2,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2,No,11,High,3,0,8,2,3,4,2,1,3
25,53,0,0,1282,Research & Development,5,3,Other,3,Female,58,High,5,Manager,High,Divorced,19094,10735,4,No,11,High,4,1,26,3,2,14,13,4,8
26,32,1,1,1125,Research & Development,16,1,Life Sciences,2,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1,Yes,22,Very High,2,0,10,5,3,10,2,6,7
27,42,0,0,691,Sales,8,4,Marketing,3,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,No,11,High,4,1,10,2,3,9,7,4,2
28,44,0,0,477,Research & Development,7,4,Medical,1,Female,42,Medium,3,Healthcare Representative,Very High,Married,10248,2094,3,No,14,High,4,1,24,4,3,22,6,5,17
29,46,0,0,705,Sales,2,4,Marketing,2,Female,83,High,5,Manager,Low,Single,18947,22822,3,No,12,High,4,0,22,2,2,2,2,2,1
30,33,0,0,924,Research & Development,2,3,Medical,3,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,No,11,High,4,0,7,3,3,1,1,0,0
31,44,0,0,1459,Research & Development,10,4,Other,4,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,High,4,0,9,5,4,4,2,1,3
